                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.1838,                  1.062,                  1.391,                0.72202,                0.69075,                0.73952,                0.41806,                  1.565,                  1.194,                 1.7187,              0.0005182,              0.0005182,              0.0005182
                    149,                  1.161,                 1.0471,                 1.3849,                0.72713,                0.68022,                0.74491,                0.43067,                 1.5074,                 1.1779,                  1.675,              0.0005149,              0.0005149,              0.0005149
                    150,                 1.1839,                 1.0667,                 1.3882,                0.67392,                0.70218,                0.73885,                0.42422,                 1.5121,                  1.189,                 1.6986,              0.0005116,              0.0005116,              0.0005116
                    151,                 1.1694,                 1.0499,                 1.3855,                0.70148,                0.68854,                0.74793,                0.42325,                 1.5595,                 1.1879,                 1.7169,              0.0005083,              0.0005083,              0.0005083
                    152,                 1.1626,                 1.0372,                 1.3743,                0.68001,                 0.7292,                0.75871,                0.42923,                 1.5553,                 1.1779,                 1.7118,               0.000505,               0.000505,               0.000505
                    153,                 1.1668,                 1.0527,                 1.3806,                0.69478,                0.69532,                0.74337,                0.42173,                 1.5559,                  1.195,                 1.7226,              0.0005017,              0.0005017,              0.0005017
                    154,                 1.1716,                 1.0531,                 1.3931,                0.74053,                0.67845,                0.74605,                0.41632,                 1.5526,                 1.2005,                 1.7149,              0.0004984,              0.0004984,              0.0004984
                    155,                 1.1565,                 1.0319,                 1.3677,                0.73404,                0.67413,                0.75483,                0.41837,                 1.5355,                 1.1859,                 1.6826,              0.0004951,              0.0004951,              0.0004951
                    156,                 1.1811,                 1.0501,                 1.3771,                0.65793,                0.72013,                0.74195,                0.40147,                 1.5826,                 1.2089,                 1.7324,              0.0004918,              0.0004918,              0.0004918
                    157,                 1.1667,                 1.0358,                 1.3738,                0.71264,                  0.692,                0.74816,                0.41923,                 1.5604,                 1.1928,                 1.7192,              0.0004885,              0.0004885,              0.0004885
                    158,                 1.1747,                  1.052,                 1.3821,                0.67852,                0.70384,                0.74279,                 0.4181,                  1.544,                 1.1994,                 1.6932,              0.0004852,              0.0004852,              0.0004852
                    159,                 1.1559,                  1.056,                 1.3762,                0.69185,                0.71102,                 0.7432,                0.42012,                  1.544,                 1.1887,                 1.7194,              0.0004819,              0.0004819,              0.0004819
                    160,                 1.1643,                 1.0362,                 1.3798,                0.70861,                0.68483,                0.74195,                0.41805,                 1.5277,                 1.1871,                 1.6894,              0.0004786,              0.0004786,              0.0004786
                    161,                 1.1767,                 1.0446,                 1.3721,                0.71766,                0.69584,                0.74348,                0.41415,                 1.5766,                 1.2067,                 1.7278,              0.0004753,              0.0004753,              0.0004753
                    162,                  1.168,                 1.0253,                 1.3753,                0.68079,                0.71763,                 0.7535,                0.42553,                 1.5499,                 1.1896,                 1.7238,               0.000472,               0.000472,               0.000472
                    163,                 1.1502,                 1.0173,                 1.3661,                0.74702,                0.69107,                0.75542,                0.41826,                 1.5462,                 1.1814,                 1.7209,              0.0004687,              0.0004687,              0.0004687
                    164,                 1.1525,                 1.0301,                 1.3736,                0.71734,                0.69124,                0.74997,                0.42433,                 1.5479,                 1.1737,                 1.7144,              0.0004654,              0.0004654,              0.0004654
                    165,                 1.1697,                  1.045,                 1.3831,                0.67355,                0.72989,                0.74407,                0.41527,                  1.572,                 1.1681,                 1.7252,              0.0004621,              0.0004621,              0.0004621
                    166,                 1.1491,                 1.0428,                 1.3666,                0.73856,                0.67643,                0.74944,                0.41773,                 1.5647,                 1.1686,                 1.7188,              0.0004588,              0.0004588,              0.0004588
                    167,                  1.156,                 1.0281,                 1.3647,                0.71319,                0.69859,                0.75034,                0.41724,                 1.5724,                 1.1579,                 1.7375,              0.0004555,              0.0004555,              0.0004555
                    168,                  1.164,                 1.0476,                 1.3754,                0.64203,                0.71339,                0.72538,                0.40127,                  1.566,                 1.2124,                 1.7187,              0.0004522,              0.0004522,              0.0004522
                    169,                 1.1588,                 1.0156,                  1.372,                0.68474,                0.68601,                0.73263,                0.41264,                 1.5484,                 1.1835,                 1.7036,              0.0004489,              0.0004489,              0.0004489
                    170,                 1.1711,                 1.0373,                 1.3734,                 0.6967,                0.68854,                0.74534,                0.41381,                 1.5621,                 1.1844,                 1.7283,              0.0004456,              0.0004456,              0.0004456
                    171,                 1.1308,                 1.0076,                 1.3565,                0.72751,                0.64925,                 0.7277,                0.41019,                 1.5688,                 1.1968,                 1.7367,              0.0004423,              0.0004423,              0.0004423
                    172,                 1.1296,                0.98773,                 1.3499,                0.74756,                0.66785,                0.75373,                0.41877,                 1.5506,                 1.1839,                 1.7391,               0.000439,               0.000439,               0.000439
                    173,                 1.1466,                0.99876,                 1.3559,                0.73098,                0.65582,                0.74429,                0.41761,                 1.5413,                 1.1817,                 1.7092,              0.0004357,              0.0004357,              0.0004357
                    174,                 1.1291,                0.97755,                  1.353,                0.70078,                 0.6739,                0.73687,                0.42281,                 1.5287,                 1.1817,                 1.7141,              0.0004324,              0.0004324,              0.0004324
                    175,                  1.137,                0.99372,                 1.3569,                0.68779,                0.68825,                0.73242,                0.41461,                 1.5561,                 1.1952,                 1.7348,              0.0004291,              0.0004291,              0.0004291
                    176,                 1.1281,                0.97389,                 1.3463,                0.68936,                0.70008,                0.72939,                0.40857,                 1.5593,                 1.1916,                 1.7234,              0.0004258,              0.0004258,              0.0004258
                    177,                 1.1451,                0.98412,                 1.3526,                0.72779,                0.67723,                0.74205,                0.41612,                  1.573,                 1.1789,                  1.736,              0.0004225,              0.0004225,              0.0004225
                    178,                 1.1261,                0.97131,                 1.3454,                0.70613,                0.70222,                0.75317,                0.42533,                 1.5482,                 1.1781,                 1.7087,              0.0004192,              0.0004192,              0.0004192
                    179,                 1.1453,                 0.9947,                 1.3578,                0.72922,                0.69376,                0.74633,                0.41461,                 1.5808,                 1.1843,                 1.7439,              0.0004159,              0.0004159,              0.0004159
                    180,                 1.1193,                0.98618,                 1.3514,                0.70654,                0.72004,                0.74807,                0.42001,                 1.5664,                 1.1834,                 1.7286,              0.0004126,              0.0004126,              0.0004126
                    181,                 1.1355,                0.98134,                 1.3523,                0.70497,                0.70269,                0.74171,                0.41511,                 1.5701,                 1.1769,                 1.7392,              0.0004093,              0.0004093,              0.0004093
                    182,                  1.136,                0.97085,                 1.3502,                0.71888,                0.69905,                 0.7429,                0.42096,                 1.5462,                 1.1721,                 1.7191,               0.000406,               0.000406,               0.000406
                    183,                 1.1112,                0.97624,                 1.3394,                0.68413,                0.71028,                 0.7341,                 0.4185,                 1.5458,                 1.1841,                 1.7193,              0.0004027,              0.0004027,              0.0004027
                    184,                 1.1257,                0.97966,                 1.3438,                0.72223,                0.71284,                0.75614,                0.42671,                 1.5579,                 1.1578,                 1.7577,              0.0003994,              0.0003994,              0.0003994
                    185,                  1.116,                 0.9724,                 1.3435,                0.69309,                0.70082,                0.74827,                0.42442,                 1.5587,                 1.1707,                 1.7392,              0.0003961,              0.0003961,              0.0003961
                    186,                 1.1251,                0.97917,                 1.3433,                0.68767,                0.69823,                0.75107,                0.42551,                 1.5455,                 1.1754,                 1.7225,              0.0003928,              0.0003928,              0.0003928
                    187,                 1.1225,                0.97115,                 1.3415,                0.75756,                0.67131,                0.75996,                0.42914,                 1.5515,                 1.1619,                 1.7306,              0.0003895,              0.0003895,              0.0003895
                    188,                 1.0997,                0.94074,                 1.3266,                0.68182,                0.70797,                0.74275,                0.42514,                 1.5599,                 1.1667,                 1.7487,              0.0003862,              0.0003862,              0.0003862
                    189,                  1.097,                0.95437,                 1.3257,                0.70714,                0.69222,                 0.7292,                0.40339,                 1.5889,                 1.1831,                 1.7554,              0.0003829,              0.0003829,              0.0003829
                    190,                 1.1097,                0.97166,                 1.3309,                0.70614,                0.70019,                0.73605,                0.41486,                 1.5609,                 1.1802,                 1.7271,              0.0003796,              0.0003796,              0.0003796
                    191,                 1.0833,                0.94204,                 1.3278,                 0.7189,                0.67686,                0.73703,                0.42438,                 1.5451,                 1.1772,                 1.7322,              0.0003763,              0.0003763,              0.0003763
                    192,                 1.1071,                0.96257,                 1.3426,                0.72247,                0.68306,                 0.7381,                0.41758,                 1.5844,                 1.1801,                 1.7601,               0.000373,               0.000373,               0.000373
                    193,                  1.114,                0.97198,                 1.3519,                0.69751,                0.68523,                 0.7345,                0.42068,                 1.5654,                 1.1729,                 1.7478,              0.0003697,              0.0003697,              0.0003697
                    194,                 1.1102,                0.94818,                 1.3232,                 0.7058,                0.70257,                0.73312,                0.41942,                 1.5609,                 1.1655,                 1.7333,              0.0003664,              0.0003664,              0.0003664
                    195,                 1.1151,                0.95276,                  1.325,                0.68873,                0.70785,                0.73894,                0.41787,                 1.5821,                 1.1748,                 1.7435,              0.0003631,              0.0003631,              0.0003631
                    196,                 1.1239,                0.94903,                 1.3365,                0.73321,                0.68266,                0.74162,                0.42093,                 1.5878,                 1.1638,                 1.7587,              0.0003598,              0.0003598,              0.0003598
                    197,                 1.0982,                0.94197,                 1.3205,                0.73473,                0.66725,                0.73058,                 0.4127,                 1.5826,                 1.1737,                 1.7428,              0.0003565,              0.0003565,              0.0003565
                    198,                 1.1025,                0.94232,                 1.3342,                0.68906,                0.70389,                0.73824,                 0.4191,                 1.5706,                 1.1635,                 1.7385,              0.0003532,              0.0003532,              0.0003532
                    199,                 1.0853,                0.92498,                 1.3194,                0.74096,                0.68113,                0.74077,                0.41887,                 1.5782,                 1.1597,                 1.7512,              0.0003499,              0.0003499,              0.0003499
                    200,                 1.0946,                0.93845,                 1.3246,                0.69993,                0.71196,                0.74333,                0.41967,                 1.5768,                 1.1684,                 1.7554,              0.0003466,              0.0003466,              0.0003466
                    201,                 1.0931,                0.93459,                 1.3231,                0.73376,                0.67889,                0.73442,                0.41841,                 1.5706,                 1.1607,                 1.7562,              0.0003433,              0.0003433,              0.0003433
                    202,                 1.0992,                0.95257,                 1.3298,                0.69873,                 0.7127,                 0.7349,                0.41688,                 1.5718,                 1.1764,                 1.7533,                0.00034,                0.00034,                0.00034
                    203,                 1.0967,                0.94752,                 1.3321,                0.67944,                0.70861,                0.73843,                 0.4112,                 1.5767,                 1.1706,                 1.7477,              0.0003367,              0.0003367,              0.0003367
                    204,                 1.1095,                0.94946,                  1.337,                0.70313,                0.70863,                 0.7337,                0.41468,                 1.5632,                 1.1656,                 1.7504,              0.0003334,              0.0003334,              0.0003334
                    205,                 1.1138,                0.97625,                 1.3458,                0.66549,                0.71475,                0.73591,                0.41635,                 1.5696,                 1.1672,                 1.7482,              0.0003301,              0.0003301,              0.0003301
                    206,                 1.0977,                0.95637,                 1.3305,                0.66547,                0.73461,                0.73718,                0.41542,                 1.5753,                 1.1549,                  1.756,              0.0003268,              0.0003268,              0.0003268
                    207,                  1.097,                0.93043,                 1.3112,                0.68642,                0.70542,                0.73003,                0.41113,                 1.5654,                  1.172,                 1.7575,              0.0003235,              0.0003235,              0.0003235
                    208,                 1.0712,                0.91896,                 1.3184,                0.70194,                0.71536,                0.74316,                0.41538,                 1.5677,                 1.1649,                 1.7513,              0.0003202,              0.0003202,              0.0003202
                    209,                 1.0853,                0.92602,                 1.3188,                0.69319,                0.70923,                0.72843,                0.40926,                 1.5833,                  1.172,                 1.7684,              0.0003169,              0.0003169,              0.0003169
                    210,                 1.0863,                0.93465,                 1.3312,                0.71091,                0.69639,                0.72636,                0.40491,                  1.586,                 1.1786,                 1.7737,              0.0003136,              0.0003136,              0.0003136
                    211,                 1.0765,                0.92833,                  1.317,                0.72769,                0.68874,                0.74048,                0.41997,                 1.5599,                 1.1612,                 1.7331,              0.0003103,              0.0003103,              0.0003103
                    212,                 1.0851,                0.92583,                 1.3266,                0.68328,                0.72384,                0.74468,                0.42105,                 1.5565,                 1.1561,                 1.7382,               0.000307,               0.000307,               0.000307
                    213,                 1.0921,                0.92684,                 1.3089,                0.67219,                0.70459,                0.73219,                 0.4128,                 1.5616,                 1.1645,                 1.7492,              0.0003037,              0.0003037,              0.0003037
                    214,                 1.0752,                0.91325,                 1.3127,                  0.721,                0.69663,                0.74997,                0.42017,                 1.5603,                 1.1432,                 1.7556,              0.0003004,              0.0003004,              0.0003004
                    215,                 1.0756,                0.91942,                 1.3221,                0.68524,                0.70808,                0.74676,                0.41837,                 1.5644,                 1.1565,                 1.7544,              0.0002971,              0.0002971,              0.0002971
                    216,                 1.0772,                0.90963,                 1.3133,                0.75097,                0.68317,                0.74295,                0.41866,                 1.5632,                 1.1636,                 1.7661,              0.0002938,              0.0002938,              0.0002938
                    217,                 1.0879,                0.92008,                 1.3212,                0.69352,                0.71203,                0.74506,                0.41806,                 1.5728,                 1.1533,                 1.7719,              0.0002905,              0.0002905,              0.0002905
                    218,                 1.0621,                0.90718,                 1.3011,                0.72068,                0.69919,                0.74946,                0.42016,                 1.5785,                 1.1545,                  1.764,              0.0002872,              0.0002872,              0.0002872
                    219,                 1.0502,                0.87389,                 1.3001,                0.70351,                0.70842,                0.74074,                0.41697,                 1.5773,                 1.1637,                 1.7546,              0.0002839,              0.0002839,              0.0002839
                    220,                 1.0626,                0.90629,                 1.3008,                0.70414,                0.71175,                0.73546,                0.41127,                 1.5718,                 1.1825,                 1.7598,              0.0002806,              0.0002806,              0.0002806
                    221,                 1.0849,                0.90914,                 1.3052,                0.71486,                0.70676,                0.74827,                0.42211,                 1.5868,                 1.1564,                 1.7694,              0.0002773,              0.0002773,              0.0002773
                    222,                 1.0757,                0.89738,                 1.3057,                0.72572,                0.68392,                0.74065,                0.41463,                 1.5887,                 1.1709,                 1.7913,               0.000274,               0.000274,               0.000274
                    223,                 1.0903,                0.90068,                 1.3191,                0.70586,                0.70779,                0.74537,                0.42021,                 1.5875,                 1.1616,                 1.7743,              0.0002707,              0.0002707,              0.0002707
                    224,                 1.0608,                 0.8963,                 1.3029,                0.73305,                0.68788,                0.74893,                0.42285,                 1.5781,                 1.1407,                 1.7673,              0.0002674,              0.0002674,              0.0002674
                    225,                 1.0602,                0.89677,                 1.2946,                0.73838,                0.69259,                0.74702,                0.41681,                 1.5875,                 1.1596,                 1.7744,              0.0002641,              0.0002641,              0.0002641
                    226,                 1.0629,                0.90318,                 1.3037,                0.74438,                0.67587,                0.74354,                0.41407,                 1.5765,                 1.1542,                 1.7665,              0.0002608,              0.0002608,              0.0002608
                    227,                 1.0644,                 0.8912,                 1.2989,                0.73146,                0.68291,                0.73968,                0.40728,                  1.589,                 1.1726,                 1.7824,              0.0002575,              0.0002575,              0.0002575
                    228,                 1.0637,                0.90705,                 1.3033,                0.72515,                0.68536,                0.73751,                0.41541,                 1.5883,                 1.1548,                 1.7747,              0.0002542,              0.0002542,              0.0002542
                    229,                 1.0605,                0.89109,                 1.3003,                 0.7569,                0.67855,                0.74598,                0.42275,                 1.5832,                 1.1306,                 1.7758,              0.0002509,              0.0002509,              0.0002509
                    230,                 1.0519,                0.90961,                 1.2982,                0.74591,                0.69645,                0.74547,                0.41861,                 1.5777,                 1.1439,                 1.7816,              0.0002476,              0.0002476,              0.0002476
                    231,                 1.0563,                0.89314,                 1.2946,                0.75918,                0.66911,                0.74294,                0.41919,                 1.5736,                 1.1572,                 1.7794,              0.0002443,              0.0002443,              0.0002443
                    232,                 1.0517,                0.87266,                 1.2959,                0.74094,                0.69569,                0.74207,                0.41806,                 1.5796,                 1.1584,                 1.7726,               0.000241,               0.000241,               0.000241
                    233,                  1.056,                0.88054,                 1.2904,                0.74265,                0.69795,                0.73956,                0.40846,                 1.5979,                 1.1609,                 1.7977,              0.0002377,              0.0002377,              0.0002377
                    234,                 1.0454,                0.86933,                 1.2922,                0.71526,                0.71462,                  0.744,                0.41677,                  1.599,                 1.1338,                 1.7898,              0.0002344,              0.0002344,              0.0002344
                    235,                 1.0446,                0.87184,                 1.2873,                0.71664,                0.70014,                0.74424,                0.41765,                 1.5958,                 1.1333,                 1.7943,              0.0002311,              0.0002311,              0.0002311
                    236,                 1.0394,                0.87823,                 1.2853,                  0.733,                0.70051,                0.74089,                0.41578,                 1.5961,                 1.1366,                 1.7979,              0.0002278,              0.0002278,              0.0002278
                    237,                 1.0279,                0.86769,                 1.2851,                0.74171,                0.69016,                0.74792,                0.41696,                  1.592,                 1.1374,                 1.7871,              0.0002245,              0.0002245,              0.0002245
